Date Added,Company,Role,URL,Location,Date Posted,Department
2026-07-03,Versant,"Director - DTC Partner Operations, MS NOW",https://careers.smartrecruiters.com/Versant3/744000135579259,"New York, NEW YORK, us",2026-07-02,—
2026-07-03,Versant,"Senior Manager - DTC Partner Operations, MS NOW",https://careers.smartrecruiters.com/Versant3/744000135578825,"New York, NY, us",2026-07-02,—
2026-07-03,Versant,"Director, Partnership Product Sales - (New York, NY)",https://careers.smartrecruiters.com/Versant3/744000135577041,"New York, NEW YORK, us",2026-07-02,—
2026-07-03,Versant,Strategic and AI Partnerships Manager (Fandango/Rotten Tomatoes/GolfNow),https://careers.smartrecruiters.com/Versant3/744000135575066,"Universal City, CALIFORNIA, us",2026-07-02,—
2026-07-03,Versant,"Director, Event Sales & Partnerships - CNBC",https://careers.smartrecruiters.com/Versant3/744000135572342,"New York, NEW YORK, us",2026-07-02,—
2026-07-03,Versant,"Manager, Sports Media Operations",https://careers.smartrecruiters.com/Versant3/744000135580424,"Englewood Cliffs, NEW JERSEY, us",2026-07-02,—
2026-07-03,Versant,"Manager, Content Accounting - TV Networks",https://careers.smartrecruiters.com/Versant3/744000135576055,"Englewood Cliffs, NEW JERSEY, us",2026-07-02,—
2026-07-03,Apple,Services Partner Operations Program Manager,https://jobs.apple.com/en-us/details/200670595-0157/services-partner-operations-program-manager?team=CUST,—,—,—
2026-07-04,BritBox,"VP, Business Development & Partnerships",https://jointheteam.britboxinternational.com/jobs/8018053-vp-business-development-partnerships,—,—,—
2026-07-07,Apple,Maps and Apple Business Product Partnerships Manager,https://jobs.apple.com/en-us/details/200670844-0836/maps-and-apple-business-product-partnerships-manager?team=SFTWR,—,—,—
2026-07-07,Apple,Content Strategy & Programming Manager,https://jobs.apple.com/en-us/details/200650893-0670/content-strategy-programming-manager?team=MKTG,—,—,—
2026-07-09,NBCUniversal,Media Traffic Control Manager,https://careers.smartrecruiters.com/NBCUniversal3/744000136566087,"New York, NEW YORK, us",2026-07-08,—
2026-07-10,Apple,"Creative Director, Visual Media Strategy (Product, Design & Marketing)",https://jobs.apple.com/en-us/details/200652761-0670/creative-director-visual-media-strategy-product-design-marketing?team=SFTWR,—,—,—
2026-07-11,Versant,"Senior Product Manager, AI (B2C exp in fintech, retail investing, financial media, or other consumer financial products)",https://careers.smartrecruiters.com/Versant3/744000137195400,"Englewood Cliffs, NEW JERSEY, us",2026-07-10,—
2026-07-11,Roku,Head of Content Innovation,https://www.weareroku.com/jobs/head-of-content-innovation-santa-monica-california-united-states,Santa Monica,—,—
2026-07-11,Apple,Content SEO Program Manager,https://jobs.apple.com/en-us/details/200672000-0836/content-seo-program-manager?team=CORSV,—,—,—
2026-07-11,Apple,Content SEO Program Manager,https://jobs.apple.com/en-us/details/200672003-0670/content-seo-program-manager?team=CORSV,—,—,—
2026-07-14,Crunchyroll,"Director, People Strategy & Partnership",https://boards.greenhouse.io/crunchyroll/jobs/8056090?gh_jid=8056090,"Los Angeles, California, United States",2026-07-13,—
2026-07-14,Apple,Distribution & Inventory Operations Lead - Services Operations,https://jobs.apple.com/en-us/details/200672235-1418/distribution-inventory-operations-lead-services-operations?team=MKTG,—,—,—
2026-07-15,Apple,"Content Strategy & Planning Lead, Greenlights & Slate Management",https://jobs.apple.com/en-us/details/200658655-0670/content-strategy-planning-lead-greenlights-slate-management?team=CORSV,—,—,—
2026-07-16,Paramount,"Senior Manager, Content Partnerships, Paramount Streaming",https://careers.paramount.com/job/Burbank-Senior-Manager%2C-Content-Partnerships%2C-Paramount-Streaming-CA-91502/1409340100/,"Paramount Streaming Job Function Business Development Location Burbank, CA, US","Jul 15, 2026",—
2026-07-17,Versant,"Senior Product Manager, AI Platform (B2C exp in fintech, retail investing, financial media)",https://careers.smartrecruiters.com/Versant3/744000138332529,"Englewood Cliffs, NEW JERSEY, us",2026-07-17,—
2026-07-18,NBCUniversal,"Vice President, Unscripted Content",https://careers.smartrecruiters.com/NBCUniversal3/744000138387423,"Universal City, CALIFORNIA, us",2026-07-17,—
2026-07-18,NBCUniversal,"Senior Vice President, Unscripted Content",https://careers.smartrecruiters.com/NBCUniversal3/744000138355959,"Universal City, CALIFORNIA, us",2026-07-17,—
2026-07-20,Versant,"Director, Independent Exhibitor Partnerships",https://careers.smartrecruiters.com/Versant3/744000138668142,"North Hollywood, CA, us",2026-07-20,—
2026-07-21,NBCUniversal,"Manager, Media Experimentation & Incrementality",https://careers.smartrecruiters.com/NBCUniversal3/744000138718270,"New York, NEW YORK, us",2026-07-20,—
2026-07-21,Paramount,"Director, Content Strategy and Acquisitions",https://careers.paramount.com/job/New-York-Director%2C-Content-Strategy-and-Acquisitions-NY-10036/1410678800/,"Content Strategy and Acquisitions Job Function Programming Location New York, NY, US","Jul 20, 2026",—
2026-07-21,Paramount,"Senior Director, Distribution & Business Development",https://careers.paramount.com/job/London-Senior-Director%2C-Distribution-&-Business-Development-NW1-8TT/1410618800/,—,"Jul 20, 2026",—
2026-07-22,NBCUniversal,"Director, Partnerships - Advertising & Partnerships",https://careers.smartrecruiters.com/NBCUniversal3/744000139074331,"New York, NEW YORK, us",2026-07-22,—
2026-07-22,Paramount,"Manager, Global Toys - Hardlines Licensing",https://careers.paramount.com/job/Los-Angeles-Manager%2C-Global-Toys-Hardlines-Licensing-CA-90038/1411149300/,"Global Toys - Hardlines Licensing Job Function Consumer Products Location Los Angeles, CA, US","Jul 21, 2026",—
