Date Added,Company,Role,URL,Location,Date Posted,Department
2026-05-12,Apple,Content Strategy & Planning Lead,https://jobs.apple.com/en-us/details/200650199-0670/content-strategy-planning-lead?team=CORSV,—,—,—
2026-05-12,Apple,"Design Manager, Content - Health",https://jobs.apple.com/en-us/details/200602518-0836/design-manager-content-health?team=DESGN,—,—,—
2026-05-12,Apple,Social Content Lead,https://jobs.apple.com/en-us/details/200645081-0670/social-content-lead?team=MKTG,—,—,—
2026-05-12,Apple,"Art Director, Games Content",https://jobs.apple.com/en-us/details/200624527-0836/art-director-games-content?team=MKTG,—,—,—
2026-05-12,Apple,"Engineering Manager, User & Content Intelligence",https://jobs.apple.com/en-us/details/200651907-3337/engineering-manager-user-content-intelligence?team=MLAI,—,—,—
2026-05-12,Apple,"Sports Creative Lead, Content Design, Apple TV",https://jobs.apple.com/en-us/details/200642045-0670/sports-creative-lead-content-design-apple-tv?team=DESGN,—,—,—
2026-05-13,Versant,"VP, Rotten Tomatoes (Content & Platform)",https://careers.smartrecruiters.com/Versant3/744000119617273,"Universal City, CALIFORNIA, us",2026-04-09,—
2026-05-13,Versant,"Director, Content Strategy",https://careers.smartrecruiters.com/Versant3/744000118935010,"New York, NEW YORK, us",2026-04-06,—
2026-05-13,Versant,"Senior Manager, Human Resources (MS NOW - news/media industry)",https://careers.smartrecruiters.com/Versant3/744000118485332,"New York, NY, us",2026-04-02,—
2026-05-13,Versant,"Manager, Content Accounting - TV Networks",https://careers.smartrecruiters.com/Versant3/744000123544300,"Englewood Cliffs, NEW JERSEY, us",2026-04-28,—
2026-05-13,Roku,"Director, Head of Industry, Media and Entertainment",https://www.weareroku.com/jobs/director-head-of-industry-media-and-entertainment-santa-monica-california-united-states,Santa Monica,—,—
2026-05-13,Roku,"Director, Commerce and Performance Partnerships",https://www.weareroku.com/jobs/director-commerce-and-performance-partnerships-new-york-united-states,New York,—,—
2026-05-13,Roku,Ad Sales & Partnerships Manager,https://www.weareroku.com/jobs/ad-sales-partnerships-manager-new-york-united-states,New York,—,—
2026-05-13,Roku,"Director, Commerce and Performance Partnerships",https://www.weareroku.com/jobs/director-commerce-and-performance-partnerships-santa-monica-california-united-states,Santa Monica,—,—
2026-05-13,Roku,"Director, Commerce and Performance Partnerships",https://www.weareroku.com/jobs/director-commerce-and-performance-partnerships-chicago-illinois-united-states,Chicago,—,—
2026-05-13,Roku,"Director, Commerce and Performance Partnerships",https://www.weareroku.com/jobs/director-commerce-and-performance-partnerships-austin-texas-united-states,Austin,—,—
2026-05-13,Roku,Senior Product Partner Manager,https://www.weareroku.com/jobs/senior-product-partner-manager-austin-texas-united-states,Austin,—,—
2026-05-13,Paramount,"Executive Director, Theatrical Distribution Sales",https://careers.paramount.com/job/Los-Angeles-Executive-Director%2C-Theatrical-Distribution-Sales-CA-90038/1373807100/,"Theatrical Distribution Sales Job Function Sales Location Los Angeles, CA, US","May 13, 2026",—
2026-05-14,Versant,"Manager - DTC Partner Operations, MS NOW",https://careers.smartrecruiters.com/Versant3/744000126362982,"New York, NY, us",2026-05-13,—
2026-05-14,Versant,"Director - DTC Partner Operations, MS NOW",https://careers.smartrecruiters.com/Versant3/744000126360945,"New York, NEW YORK, us",2026-05-13,—
2026-05-14,Paramount,Media Manager,https://careers.paramount.com/job/New-York-Media-Manager-NY-10036/1382820200/,"Title Media Manager Job Function Other Location New York, NY, US","May 14, 2026",—
2026-05-14,Paramount,"Associate Product Manager, Content Discovery",https://careers.paramount.com/job/New-York-Associate-Product-Manager%2C-Content-Discovery-NY-10036/1390724500/,"Content Discovery Job Function Other Location New York, NY, US","May 13, 2026",—
2026-05-15,NBCUniversal,"Sr. Manager, Content Strategy",https://careers.smartrecruiters.com/NBCUniversal3/744000126559946,"Universal City, CA, us",2026-05-14,—
2026-05-17,Roku,Ad Partner Solutions Manager,https://www.weareroku.com/jobs/ad-partner-solutions-manager-new-york-united-states-c2889b69-a620-4ba2-a6f8-c2dc46fdaab6,New York,—,—
2026-05-17,Roku,"Ad Product Marketing Manager, Commerce Media",https://www.weareroku.com/jobs/ad-product-marketing-manager-commerce-media-new-york-united-states,New York,—,—
2026-05-18,Apple,"Creative Content Lead, Today at Apple Digital",https://jobs.apple.com/en-us/details/200663758-0670/creative-content-lead-today-at-apple-digital?team=CORSV,—,—,—
2026-05-19,Apple,Partner Content Manager,https://jobs.apple.com/en-us/details/200663751-0670/partner-content-manager?team=SFTWR,—,—,—
2026-05-20,NBCUniversal,"Sr. Manager, Content Strategy",https://careers.smartrecruiters.com/NBCUniversal3/744000127296704,"New York, NY, us",2026-05-19,—
2026-05-20,Paramount,"Senior Manager, Distribution Operations",https://careers.paramount.com/job/New-York-Senior-Manager%2C-Distribution-Operations-NY-10036/1392554800/,"Distribution Operations Job Function General Business Location New York, NY, US","May 20, 2026",—
2026-05-21,Versant,"Manager, DTC Partnerships, CNBC",https://careers.smartrecruiters.com/Versant3/744000127683669,"Englewood Cliffs, NEW JERSEY, us",2026-05-21,—
2026-05-21,Versant,"Senior Manager, Strategic Partnerships, CNBC",https://careers.smartrecruiters.com/Versant3/744000127683120,"Englewood Cliffs, NEW JERSEY, us",2026-05-21,—
2026-05-22,Paramount,"Senior Director, Brand and Content Marketing",https://careers.paramount.com/job/London-Senior-Director%2C-Brand-and-Content-Marketing-NW1-8TT/1367475300/,—,"May 22, 2026",—
2026-05-22,Paramount,"Senior Director, Technical Product Management, Content Engineering and Intelligence",https://careers.paramount.com/job/New-York-Senior-Director%2C-Technical-Product-Management%2C-Content-Engineering-and-Intelligence-NY-10036/1385174400/,"Content Engineering and Intelligence Job Function Technology Location New York, NY, US","May 22, 2026",—
2026-05-22,Paramount,"Social Media Manager, The Free Press",https://careers.paramount.com/job/New-York-Social-Media-Manager%2C-The-Free-Press-NY-10036/1385136100/,"The Free Press Job Function Production Location New York, NY, US","May 22, 2026",—
2026-05-22,Apple,Distribution Inventory Operation Lead,https://jobs.apple.com/en-us/details/200664451-0670/distribution-inventory-operation-lead?team=MKTG,—,—,—
2026-05-22,Apple,Business Development & Partnership Manager (Fintech),https://jobs.apple.com/en-us/details/200664797-0836/business-development-partnership-manager-fintech?team=SFTWR,—,—,—
2026-05-22,Apple,Business Development & Partnership Manager (Merchant),https://jobs.apple.com/en-us/details/200664793-0836/business-development-partnership-manager-merchant?team=SFTWR,—,—,—
2026-05-23,NBCUniversal,"Manager/Sr. Manager, Content Strategy",https://careers.smartrecruiters.com/NBCUniversal3/744000127968589,"New York, NY, us",2026-05-22,—
2026-05-23,NBCUniversal,"Manager/Sr. Manager, Content Strategy",https://careers.smartrecruiters.com/NBCUniversal3/744000127968395,"Universal City, CA, us",2026-05-22,—
2026-05-23,Versant,"Manager, DTC Partnerships, CNBC",https://careers.smartrecruiters.com/Versant3/744000127966789,"Englewood Cliffs, NEW JERSEY, us",2026-05-22,—
2026-05-23,Versant,"Senior Manager, Strategic Partnerships, CNBC",https://careers.smartrecruiters.com/Versant3/744000127966579,"Englewood Cliffs, NEW JERSEY, us",2026-05-22,—
2026-05-26,Versant,"Manager, Sports Media Operations",https://careers.smartrecruiters.com/Versant3/744000128511689,"Englewood Cliffs, NEW JERSEY, us",2026-05-26,—
2026-05-26,Paramount,Senior Licensing Category Manager - France,https://careers.paramount.com/job/Paris-Senior-Licensing-Category-Manager-France-Pari-92200/1393802400/,—,"May 26, 2026",—
2026-05-27,Versant,"Manager, Studio & Affiliate Partnerships",https://careers.smartrecruiters.com/Versant3/744000128747295,"Universal City, CALIFORNIA, us",2026-05-27,—
2026-05-27,Versant,"Manager, Strategic Partnerships",https://careers.smartrecruiters.com/Versant3/744000128747299,"Universal City, CALIFORNIA, us",2026-05-27,—
2026-05-28,Paramount,"Manager, Content Acquisitions (Movies & Series)",https://careers.paramount.com/job/New-York-Manager%2C-Content-Acquisitions-%28Movies-&-Series%29-NY-10036/1394463700/,"Job Function Programming Location New York, NY, US","May 27, 2026",—
2026-05-28,Paramount,"Director, Content Acquisitions (Movies & Series)",https://careers.paramount.com/job/New-York-Director%2C-Content-Acquisitions-%28Movies-&-Series%29-NY-10036/1394464900/,"Job Function Programming Location New York, NY, US","May 27, 2026",—
2026-05-28,Paramount,"Manager, Social Media, Paramount Streaming",https://careers.paramount.com/job/New-York-Manager%2C-Social-Media%2C-Paramount-Streaming-NY-10036/1394440800/,"Paramount Streaming Job Function Marketing Location New York, NY, US","May 27, 2026",—
2026-05-29,NBCUniversal,"Manager, Enterprise Partnerships & Operations",https://careers.smartrecruiters.com/NBCUniversal3/744000129043244,"New York, NEW YORK, us",2026-05-28,—
2026-05-29,Paramount,"Media Budget Operations Manager, Paramount",https://careers.paramount.com/job/New-York-Media-Budget-Operations-Manager%2C-Paramount-NY-10036/1361114400/,"Accounting Location New York, NY, US","May 29, 2026",—
2026-05-29,Paramount,"Manager, Global Toys - Hardlines Licensing",https://careers.paramount.com/job/Los-Angeles-Manager%2C-Global-Toys-Hardlines-Licensing-CA-90038/1394928800/,"Global Toys - Hardlines Licensing Job Function Consumer Products Location Los Angeles, CA, US","May 28, 2026",—
2026-05-29,Apple,"Program Manager, Distribution Center Operations",https://jobs.apple.com/en-us/details/200664549-3956/program-manager-distribution-center-operations?team=OPMFG,—,—,—
2026-05-29,Apple,"Content Strategy & Planning, Contribution Value Model Lead Analyst",https://jobs.apple.com/en-us/details/200650200-0670/content-strategy-planning-contribution-value-model-lead-analyst?team=CORSV,—,—,—
2026-05-30,Versant,Studio & Affiliate Partnerships Manager (Fandango/Rotten Tomatoes),https://careers.smartrecruiters.com/Versant3/744000129261829,"Universal City, CALIFORNIA, us",2026-05-29,—
2026-05-30,Versant,Strategic and AI Partnerships Manager (Fandango/Rotten Tomatoes/GolfNow),https://careers.smartrecruiters.com/Versant3/744000129261010,"Universal City, CALIFORNIA, us",2026-05-29,—
2026-06-01,NBCUniversal,"Manager, Enterprise Partnerships & Operations",https://careers.smartrecruiters.com/NBCUniversal3/744000129501834,"New York, NEW YORK, us",2026-06-01,—
2026-06-01,Roku,"Sr. Manager, Customer Acquisition (Paid Media)",https://www.weareroku.com/jobs/sr-manager-customer-acquisition-paid-media-new-york-united-states,New York,—,—
2026-06-02,NBCUniversal,Media Traffic Technology Manager (Transmission) ,https://careers.smartrecruiters.com/NBCUniversal3/744000129800879,"New York, NEW YORK, us",2026-06-02,—
2026-06-02,Versant,"Senior Manager - DTC Partner Operations, MS NOW",https://careers.smartrecruiters.com/Versant3/744000129752569,"New York, NY, us",2026-06-02,—
2026-06-02,Apple,"AI Operations Lead, Original Content Operations",https://jobs.apple.com/en-us/details/200645529-0836/ai-operations-lead-original-content-operations?team=SFTWR,—,—,—
2026-06-03,Versant,"Director, Sports Media Operations",https://careers.smartrecruiters.com/Versant3/744000130064269,"Englewood Cliffs, NEW JERSEY, us",2026-06-03,—
2026-06-03,Apple,Live Stream Content Delivery Manager,https://jobs.apple.com/en-us/details/200665806-3715/live-stream-content-delivery-manager?team=CORSV,—,—,—
2026-06-05,Versant,"Director, Event Sales & Partnerships - CNBC",https://careers.smartrecruiters.com/Versant3/744000130282239,"New York, NEW YORK, us",2026-06-04,—
2026-06-05,Paramount,"Senior Programming Manager, Content Merchandising - Pluto TV",https://careers.paramount.com/job/Burbank-Senior-Programming-Manager%2C-Content-Merchandising-Pluto-TV-CA-91502/1389156000/,"Content Merchandising - Pluto TV Job Function Programming Location Burbank, CA, US","Jun 5, 2026",—
2026-06-07,Paramount,"Vice President, Media Sales - CBS Media Ventures",https://careers.paramount.com/job/New-York-Vice-President%2C-Media-Sales-CBS-Media-Ventures-NY-10036/1397298700/,"Media Sales - CBS Media Ventures Job Function Sales Location New York, NY, US","Jun 5, 2026",—
2026-06-08,Paramount,"Senior Manager, Business Development & Licensing, Global Publishing",https://careers.paramount.com/job/New-York-Senior-Manager%2C-Business-Development-&-Licensing%2C-Global-Publishing-NY-10036/1373314500/,"Global Publishing Job Function Consumer Products Location New York, NY, US","Jun 8, 2026",—
2026-06-09,Spotify,"Manager, Consumer Business Development -  Audiobooks and Media Partners",https://jobs.lever.co/spotify/b66e964c-fbb5-4845-b250-1412b00f0b81,"New York, NY",—,Experience
2026-06-09,Spotify,"Manager, Consumer Business Development - Speaker and Audio Partners",https://jobs.lever.co/spotify/c57d5fa0-2f0e-45f4-abdd-e3ee5fdb85c4,"New York, NY",—,Experience
2026-06-09,NBCUniversal,"Director, Brand Partnerships",https://careers.smartrecruiters.com/NBCUniversal3/744000131179965,"New York, NEW YORK, us",2026-06-09,—
2026-06-09,NBCUniversal,"Manager, Ad Sales Finance - Entertainment Digital & Streaming",https://careers.smartrecruiters.com/NBCUniversal3/744000130877311,"New York, NEW YORK, us",2026-06-08,—
2026-06-09,Paramount,"Sr Manager, Media Strategy",https://careers.paramount.com/job/Burbank-Sr-Manager%2C-Media-Strategy-CA-91505/1397832300/,"Media Strategy Job Function Marketing Location Burbank, CA, US","Jun 8, 2026",—
2026-06-09,Paramount,"Vice President, Media Sales - CBS Media Ventures",https://careers.paramount.com/job/Chicago-Vice-President%2C-Media-Sales-CBS-Media-Ventures-IL-60601/1397835100/,"Media Sales - CBS Media Ventures Job Function Sales Location Chicago, IL, US","Jun 8, 2026",—
2026-06-09,Apple,"Senior Engineering Program Manager, Ecosystem Development and Partnerships",https://jobs.apple.com/en-us/details/200667085-0836/senior-engineering-program-manager-ecosystem-development-and-partnerships?team=HRDWR,—,—,—
2026-06-10,NBCUniversal,"Manager, Category Management FBC (Licensing)",https://careers.smartrecruiters.com/NBCUniversal3/744000131241059,"Universal City, CALIFORNIA, us",2026-06-09,—
2026-06-10,BritBox,Senior Manager - Content Acquisitions,https://jointheteam.britboxinternational.com/jobs/7885552-senior-manager-content-acquisitions,—,—,—
2026-06-10,Apple,Partner Marketing Program Manager - APAC,https://jobs.apple.com/en-us/details/200667579-3278/partner-marketing-program-manager-apac?team=MKTG,—,—,—
2026-06-11,NBCUniversal,"Sr. Manager, Content Strategy",https://careers.smartrecruiters.com/NBCUniversal3/744000131534549,"Universal City, CA, us",2026-06-10,—
2026-06-11,NBCUniversal,"Manager, Content Strategy",https://careers.smartrecruiters.com/NBCUniversal3/744000131533650,"Universal City, CA, us",2026-06-10,—
2026-06-11,NBCUniversal,"Sr. Manager, Content Strategy",https://careers.smartrecruiters.com/NBCUniversal3/744000131533594,"New York, NY, us",2026-06-10,—
2026-06-11,NBCUniversal,"Manager, Content Strategy",https://careers.smartrecruiters.com/NBCUniversal3/744000131533960,"New York, NY, us",2026-06-10,—
2026-06-11,NBCUniversal,Sr Manager Integrated Media Strategy,https://careers.smartrecruiters.com/NBCUniversal3/744000131720169,"Universal City, CALIFORNIA, us",2026-06-11,—
2026-06-11,Versant,"Director, Event Sales & Partnerships - CNBC",https://careers.smartrecruiters.com/Versant3/744000131542919,"New York, NEW YORK, us",2026-06-10,—
2026-06-13,Versant,"Director, Content Strategy",https://careers.smartrecruiters.com/Versant3/744000131965005,"New York, NEW YORK, us",2026-06-12,—
2026-06-13,Versant,"Manager, DTC Partnerships, CNBC",https://careers.smartrecruiters.com/Versant3/744000131961119,"Englewood Cliffs, NEW JERSEY, us",2026-06-12,—
2026-06-13,Versant,"VP, Rotten Tomatoes (Content & Platform)",https://careers.smartrecruiters.com/Versant3/744000131960297,"Universal City, CALIFORNIA, us",2026-06-12,—
2026-06-13,Versant,"Senior Manager, Strategic Partnerships, CNBC",https://careers.smartrecruiters.com/Versant3/744000131969364,"Englewood Cliffs, NEW JERSEY, us",2026-06-12,—
2026-06-13,Versant,"Senior Manager - DTC Partner Operations, MS NOW",https://careers.smartrecruiters.com/Versant3/744000131967463,"New York, NY, us",2026-06-12,—
2026-06-13,Versant,Strategic and AI Partnerships Manager (Fandango/Rotten Tomatoes/GolfNow),https://careers.smartrecruiters.com/Versant3/744000131964932,"Universal City, CALIFORNIA, us",2026-06-12,—
2026-06-13,Versant,Studio & Affiliate Partnerships Manager (Fandango/Rotten Tomatoes),https://careers.smartrecruiters.com/Versant3/744000131960485,"Universal City, CALIFORNIA, us",2026-06-12,—
2026-06-13,Versant,"Director - DTC Partner Operations, MS NOW",https://careers.smartrecruiters.com/Versant3/744000131960969,"New York, NEW YORK, us",2026-06-12,—
2026-06-13,Versant,"Director, Event Sales & Partnerships - CNBC",https://careers.smartrecruiters.com/Versant3/744000131959310,"New York, NEW YORK, us",2026-06-12,—
2026-06-13,Versant,"Senior Manager, Human Resources (MS NOW - news/media industry)",https://careers.smartrecruiters.com/Versant3/744000131961667,"New York, NY, us",2026-06-12,—
2026-06-13,Versant,"Manager, Content Accounting - TV Networks",https://careers.smartrecruiters.com/Versant3/744000131966729,"Englewood Cliffs, NEW JERSEY, us",2026-06-12,—
2026-06-13,Versant,"Manager, Sports Media Operations",https://careers.smartrecruiters.com/Versant3/744000131961525,"Englewood Cliffs, NEW JERSEY, us",2026-06-12,—
2026-06-15,NBCUniversal,"Sr Manager, Distribution Insights and Analytics",https://careers.smartrecruiters.com/NBCUniversal3/744000132217389,"New York, NEW YORK, us",2026-06-15,—
2026-06-16,NBCUniversal,Manager Entertainment Technical Audio/Video,https://careers.smartrecruiters.com/NBCUniversal3/744000132297009,"Universal City, CALIFORNIA, us",2026-06-15,—
2026-06-17,Apple,Head of Social Media - Apple TV,https://jobs.apple.com/en-us/details/200668463-0670/head-of-social-media-apple-tv?team=MKTG,—,—,—
2026-06-18,NBCUniversal,Assistant Manager Entertainment Streets,https://careers.smartrecruiters.com/NBCUniversal3/744000132696758,"Universal City, CALIFORNIA, us",2026-06-17,—
2026-06-18,Paramount,"Manager, Streaming Content Management",https://careers.paramount.com/job/Burbank-Manager%2C-Streaming-Content-Management-CA-91505/1392764700/,"Streaming Content Management Job Function Production Location Burbank, CA, US","Jun 18, 2026",—
2026-06-22,Versant,"Senior Manager, Human Resources (MS NOW - news/media industry)",https://careers.smartrecruiters.com/Versant3/744000133390972,"New York, NY, us",2026-06-22,—
